date,machine_no,model,diff,spins,big,reg,event_tag,,
2025/3/14,778,ミスタージャグラー,700,"4,800",23,9,ファン感,リニューアルオープン,0
2025/3/14,779,ミスタージャグラー,300,"3,685",13,13,ファン感,リニューアルオープン,0
2025/3/14,780,ミスタージャグラー,"-1,200","3,639",10,7,ファン感,リニューアルオープン,0
2025/3/15,798,マイジャグラーV,"1,100","7,361",30,22,ファン感,リニューアルオープン,0
2025/3/15,799,マイジャグラーV,900,"7,968",37,19,ファン感,リニューアルオープン,0
2025/3/15,800,マイジャグラーV,"1,300","8,346",37,24,ファン感,リニューアルオープン,0
2025/3/15,801,マイジャグラーV,"-1,400","6,149",18,17,ファン感,リニューアルオープン,0
2025/3/15,802,マイジャグラーV,"-1,200","6,169",19,14,ファン感,リニューアルオープン,0
2025/3/15,803,マイジャグラーV,"-1,700","6,293",20,11,ファン感,リニューアルオープン,0
2025/3/15,804,マイジャグラーV,"1,400","7,769",33,26,ファン感,リニューアルオープン,0
2025/3/15,805,マイジャグラーV,"1,700","8,110",32,31,ファン感,リニューアルオープン,0
2025/3/15,806,マイジャグラーV,"3,500","7,852",40,31,ファン感,リニューアルオープン,0
2025/3/15,807,マイジャグラーV,"1,300","8,398",32,34,ファン感,リニューアルオープン,0
2025/3/15,808,マイジャグラーV,"1,900","8,864",38,36,ファン感,リニューアルオープン,0
2025/3/15,809,マイジャグラーV,"-2,200","5,872",16,12,ファン感,リニューアルオープン,0
2025/3/15,810,マイジャグラーV,"-2,700","7,024",19,12,ファン感,リニューアルオープン,0
2025/3/15,811,マイジャグラーV,100,"7,981",32,19,ファン感,リニューアルオープン,0
2025/3/15,812,マイジャグラーV,"-2,000","5,930",12,17,ファン感,リニューアルオープン,0
2025/3/15,813,マイジャグラーV,"-1,200","7,126",20,24,ファン感,リニューアルオープン,0
2025/3/15,814,マイジャグラーV,-300,"7,508",25,22,ファン感,リニューアルオープン,0
2025/3/15,815,マイジャグラーV,300,"7,420",29,17,ファン感,リニューアルオープン,0
2025/3/15,816,マイジャグラーV,"-1,000","6,099",21,15,ファン感,リニューアルオープン,0
2025/3/15,817,マイジャグラーV,"3,000","8,648",44,28,ファン感,リニューアルオープン,0
2025/3/15,818,マイジャグラーV,300,"6,484",27,17,ファン感,リニューアルオープン,0
2025/3/15,819,マイジャグラーV,"1,900","6,551",33,16,ファン感,リニューアルオープン,0
2025/3/15,820,マイジャグラーV,"2,700","8,499",40,30,ファン感,リニューアルオープン,0
2025/3/15,821,マイジャグラーV,"2,600","6,456",31,24,ファン感,リニューアルオープン,0
2025/3/15,822,マイジャグラーV,900,"8,066",35,24,ファン感,リニューアルオープン,0
2025/3/15,823,マイジャグラーV,500,"7,265",29,21,ファン感,リニューアルオープン,0
2025/3/15,791,アイムジャグラーEX,200,"5,832",23,12,ファン感,リニューアルオープン,0
2025/3/15,792,アイムジャグラーEX,-700,"6,007",18,22,ファン感,リニューアルオープン,0
2025/3/15,793,アイムジャグラーEX,"2,000","6,021",23,35,ファン感,リニューアルオープン,0
2025/3/15,794,アイムジャグラーEX,-900,"7,809",25,25,ファン感,リニューアルオープン,0
2025/3/15,795,アイムジャグラーEX,"2,000","7,887",30,35,ファン感,リニューアルオープン,0
2025/3/15,796,アイムジャグラーEX,"-2,400","7,137",18,13,ファン感,リニューアルオープン,0
2025/3/15,797,アイムジャグラーEX,600,"7,276",29,21,ファン感,リニューアルオープン,0
2025/3/15,824,アイムジャグラーEX,"-1,000","5,788",18,11,ファン感,リニューアルオープン,0
2025/3/15,825,アイムジャグラーEX,"-1,000","6,348",19,18,ファン感,リニューアルオープン,0
2025/3/15,826,アイムジャグラーEX,-800,"5,766",18,17,ファン感,リニューアルオープン,0
2025/3/15,827,アイムジャグラーEX,300,"5,813",21,18,ファン感,リニューアルオープン,0
